time,ais_frequency,resonance,beat_frequency,intermod_frequency,topology_mismatch,spike_rate,scorch_depth,noise_level,island_Delta_power,island_Delta_freq,island_Theta_power,island_Theta_freq,island_Alpha_power,island_Alpha_freq,island_Beta_3_power,island_Beta_3_freq,island_Beta_power,island_Beta_freq,island_Gamma_power,island_Gamma_freq
15.5,8.063528422718752,0.37992025997329926,1.9364715772812477,1.0317642113593761,0.5905025449514965,64.5,0.010159206445881858,0.1,0.0,2,0.02732285858180898,6,0.4094974550485036,10,0.37461855550795436,15,0.07352173224553198,22,0.11503939834200429,40
16.0,8.331549938841203,0.34763831908508364,1.6684500611587971,1.1657749694206014,0.7031667389334602,74.0,0.01013889819219654,0.1,0.0,2,0.0783163725739927,6,0.29683326106653984,10,0.41909295647183514,15,0.08324036400941175,22,0.12251704554734857,40
16.5,6.151678315815772,0.27648703533010116,0.15167831581577218,1.924160842092114,0.9327228343399615,97.0,0.01011863053471034,0.1,0.0,2,0.06727716566003845,6,0.46825003670086135,10,0.28120244651577764,15,0.06440751334622907,22,0.11886283743613224,40
17.0,5.189244568515161,0.19841775039671608,0.8107554314848393,1.5946222842575803,0.9646087485343217,56.0,0.010098403392271454,0.1,0.0,2,0.035391251465678376,6,0.5903646499524954,10,0.22938347824758598,15,0.0454782196487926,22,0.099382400400239,40
17.5,8.150632479954488,0.5440926405745785,1.8493675200455115,1.0753162399772442,0.40580916490866836,102.5,0.010078216683890303,0.1,0.0,2,0.04812889735714146,6,0.5941908350913316,10,0.2100234745004862,15,0.07001886069041832,22,0.0776379320890793,40
18.0,6.093576331667847,0.2782748494567723,0.09357633166784662,1.9532118341660767,0.9362698884960625,83.5,0.010058070328739207,0.1,0.0,2,0.0637301115039375,6,0.4927635249365114,10,0.28659096746000196,15,0.07421842447217655,22,0.0826969713785025,40
18.5,5.850398345494489,0.263823705085089,0.14960165450551077,1.9251991727472446,0.8786416774689324,88.5,0.010037964246152057,0.1,0.0,2,0.12135832253106761,6,0.36344735668246203,10,0.3123270124733695,15,0.10238539985956469,22,0.10048190825364489,40
19.0,5.2837142584001455,0.2901380235670889,0.7162857415998545,1.6418571292000728,0.7914379577692618,66.0,0.010017898355623998,0.1,0.0,2,0.2085620422307381,6,0.29542263486716636,10,0.2997861353303862,15,0.072782119854263,22,0.12344706744549983,40
19.5,2.6424970555620835,0.1712346120835952,0.6424970555620835,1.6787514722189583,1.0,45.5,0.009997872576811105,0.1,0.0,2,0.29257565910689814,6,0.2991429882585298,10,0.21604481208466106,15,0.0843251678110833,22,0.10791137245664409,40
20.0,2.746794020405213,0.11420775714551139,0.746794020405213,1.6266029897973935,1.0,48.0,0.009977886829530061,0.1,0.0,2,0.15897111017095975,6,0.4808051346757952,10,0.18875775495694028,15,0.07530339585633314,22,0.09616260410664007,40
20.5,5.589024101659975,0.3736246166425256,0.4109758983400251,1.7945120508299874,0.7637823256536471,66.0,0.009957941033757831,0.1,0.0,2,0.2362176743463529,6,0.40675383498945883,10,0.22057905206971595,15,0.0669088430540506,22,0.06954059536931528,40
21.0,7.609079790170586,0.6376791536565262,1.6090797901705862,1.195460104914707,0.7004605911739232,109.5,0.00993803510963135,0.1,0.0,2,0.29953940882607677,6,0.5110290552612892,10,0.1307874975237496,15,0.019868790718584314,22,0.03877524753286733,40
21.5,8.708925465365155,0.735982021082285,1.291074534634845,1.3544627326825776,0.4107339575148693,146.0,0.01140999915179592,0.1,0.0,2,0.2842336027855876,6,0.5892660424851307,10,0.08801049657356871,15,0.010780329479189013,22,0.0277095285768031,40
22.0,10.0,0.7645761254032748,0.0,2.0,0.3556128456294916,157.0,0.012939151402602468,0.1,0.0,2,0.24913026222278742,6,0.6443871543705084,10,0.07124575136319031,15,0.009458064853147246,22,0.02577876710156494,40
22.5,10.0,0.7467730910260224,0.0,2.0,0.3861241619754078,148.0,0.014432697584654514,0.1,0.0,2,0.27676449637857375,6,0.6138758380245922,10,0.07665097418595498,15,0.008576949346558983,22,0.024131741982970252,40
23.0,10.0,0.7366493302182296,0.0,2.0,0.40513675441747676,157.5,0.015905996245090974,0.1,0.0,2,0.30576973303919847,6,0.5948632455825232,10,0.06447634656909984,15,0.009151205050655047,22,0.025739469678349076,40
23.5,9.999999999999998,0.7192468368055044,1.7763568394002505e-15,1.9999999999999991,0.43277341583939444,133.0,0.01734448991870198,0.1,0.0,2,0.3252533097803591,6,0.5672265841606056,10,0.0734019537792263,15,0.005008494218864287,22,0.02910965796938835,40
24.0,8.977184860628517,0.6990191005980507,1.0228151393714828,1.4885924303142586,0.5272658112741644,122.5,0.017309818283354494,0.1,0.0,2,0.39314387420585173,6,0.47273418872583556,10,0.09535071892099714,15,0.005186565345385155,22,0.0335846526937864,40
24.5,5.384799754549979,0.5122089640142599,0.6152002454500209,1.6923998772749895,0.5936090765351028,104.0,0.01727521595660607,0.1,0.0,2,0.40639092346489725,6,0.3700571240139516,10,0.1601848113934905,15,0.020757805157154932,22,0.04260933585150525,40
25.0,7.164093731593668,0.5574416692904441,1.1640937315936677,1.4179531342031662,0.5973850551906861,106.5,0.017240682799908813,0.1,0.0,2,0.4026149448093139,6,0.27644775189154636,10,0.21780218209286487,15,0.06436299496109574,22,0.03877212615392186,40
25.5,5.462112922819485,0.5433181064502312,0.5378870771805149,1.7310564614097426,0.507062554325346,105.0,0.017206218674991794,0.1,0.0,2,0.49293744567465403,6,0.17857041325407572,10,0.21297207958176323,15,0.08306717684251043,22,0.03245288455600036,40
26.0,7.1307998879362975,0.6306908775919644,1.1307998879362975,1.4346000560318513,0.4539457421812031,118.5,0.017171823443860486,0.1,0.0,2,0.5460542578187969,6,0.18417596554648832,10,0.17176157547656887,15,0.057908644593745395,22,0.040099556431503196,40
26.5,4.029320343662975,0.47697268767206885,1.9706796563370252,1.0146601718314874,0.44547748528768205,84.0,0.01713749696879621,0.1,0.0,2,0.554522514712318,6,0.21648668920879233,10,0.1517699437927477,15,0.03971520160000425,22,0.03750565054649882,40
27.0,5.174894030315901,0.5402948587925264,0.825105969684099,1.5874470151579505,0.5184692137815639,110.5,0.017103239112355586,0.1,0.0,2,0.4815307862184362,6,0.2772217237778015,10,0.1251019240172589,15,0.06338432981278082,22,0.052761236036575156,40
27.5,4.671286691467792,0.3601317456488596,1.3287133085322083,1.3356433457338959,0.6870707386321924,78.0,0.017069049737369987,0.1,0.0,2,0.3129292613678076,6,0.36810573701433585,10,0.1606516561917062,15,0.08719946951031031,22,0.07111387576077068,40
28.0,5.935778399467976,0.5225384708370548,0.06422160053202397,1.967889199733988,0.6283420389032781,112.0,0.017034928706944986,0.1,0.0,2,0.37165796109672183,6,0.3735612644630854,10,0.1676080992320296,15,0.03363792854659169,22,0.05353474649324867,40
28.5,4.863153521935385,0.38917194387528514,1.1368464780646148,1.4315767609676926,0.662828804850931,74.5,0.017000875884459806,0.1,0.0,2,0.337171195149069,6,0.32317461366092404,10,0.22732348006185432,15,0.04944605349944768,22,0.0628846574445186,40
